V,dJdV
2.629999999999999959e-03,nan
4.610000000000000382e-03,nan
6.590000000000000371e-03,nan
8.600000000000000006e-03,9.068351283708531163e-03
1.060000000000000005e-02,9.393939393939398919e-03
1.260000000000000009e-02,8.484848484848428463e-03
1.460000000000000013e-02,8.484848484848428463e-03
1.660000000000000017e-02,8.181818181818178992e-03
1.859999999999999848e-02,6.363636363636460125e-03
2.060000000000000026e-02,6.363636363636238080e-03
2.259999999999999856e-02,6.666666666666820618e-03
2.460000000000000034e-02,6.060606060605988610e-03
2.659999999999999865e-02,6.363636363636460125e-03
2.860000000000000042e-02,7.575757575757513518e-03
3.059999999999999873e-02,7.878787878787874011e-03
3.259999999999999704e-02,7.575757575757624540e-03
3.459999999999999881e-02,7.272727272727319558e-03
3.660000000000000059e-02,6.666666666666709595e-03
3.860000000000000236e-02,6.060606060606099632e-03
4.059999999999999720e-02,6.666666666666543062e-03
4.259999999999999898e-02,6.363636363636349103e-03
4.460000000000000075e-02,5.274608432503269384e-03
4.649999999999999967e-02,4.872788030682861926e-03
4.859999999999999737e-02,5.046281631647553390e-03
5.059999999999999915e-02,4.242424242424103209e-03
5.260000000000000092e-02,4.747883695252086422e-03
5.449999999999999983e-02,5.633664581033204222e-03
5.650000000000000161e-02,5.151515151515073665e-03
5.850000000000000339e-02,5.151515151515240198e-03
6.049999999999999822e-02,5.757575757575850162e-03
6.250000000000000000e-02,5.757575757575739139e-03
6.450000000000000178e-02,5.017421602787341950e-03
6.660000000000000642e-02,5.481886534518254361e-03
6.850000000000000533e-02,5.011246063877761170e-03
7.049999999999999323e-02,3.939393939393909250e-03
7.249999999999999500e-02,4.545454545454463702e-03
7.449999999999999678e-02,5.454545454545489669e-03
7.649999999999999856e-02,5.151515151515351221e-03
7.850000000000000033e-02,5.151515151515018154e-03
8.050000000000000211e-02,4.545454545454408191e-03
8.250000000000000389e-02,3.939393939394020272e-03
8.450000000000000566e-02,4.242424242424103209e-03
8.649999999999999356e-02,4.242424242424269742e-03
8.849999999999999534e-02,4.545454545454574724e-03
9.049999999999999711e-02,5.454545454545378647e-03
9.249999999999999889e-02,5.454545454545489669e-03
9.450000000000000067e-02,5.151515151515184687e-03
9.650000000000000244e-02,5.151515151515129176e-03
9.850000000000000422e-02,4.848484848484824195e-03
1.010000000000000064e-01,4.848484848484824195e-03
1.029999999999999943e-01,5.151515151515295710e-03
1.049999999999999961e-01,9.090909090908816381e-03
1.059999999999999970e-01,8.888888888888613060e-03
1.079999999999999988e-01,4.545454545454685746e-03
1.100000000000000006e-01,4.848484848484879706e-03
1.120000000000000023e-01,4.848484848484768683e-03
1.140000000000000041e-01,3.939393939393964761e-03
1.160000000000000059e-01,5.151515151515129176e-03
1.179999999999999938e-01,5.151515151515184687e-03
1.199999999999999956e-01,3.636363636363659779e-03
1.219999999999999973e-01,3.939393939393964761e-03
1.239999999999999991e-01,3.636363636363604268e-03
1.260000000000000009e-01,2.424242424242384342e-03
1.280000000000000027e-01,3.333333333333354798e-03
1.300000000000000044e-01,3.333333333333299286e-03
1.320000000000000062e-01,2.121212121212134871e-03
1.340000000000000080e-01,3.333333333333354798e-03
1.360000000000000098e-01,4.848484848484879706e-03
1.380000000000000115e-01,4.545454545454519213e-03
1.400000000000000133e-01,4.545454545454574724e-03
1.419999999999999873e-01,5.454545454545600691e-03
1.439999999999999891e-01,4.848484848484824195e-03
1.459999999999999909e-01,3.636363636363659779e-03
1.479999999999999927e-01,4.545454545454574724e-03
1.499999999999999944e-01,5.454545454545434158e-03
1.519999999999999962e-01,4.545454545454408191e-03
1.539999999999999980e-01,4.848484848484824195e-03
1.559999999999999998e-01,4.848484848484935217e-03
1.580000000000000016e-01,3.636363636363715290e-03
1.600000000000000033e-01,3.333333333333354798e-03
1.620000000000000051e-01,3.939393939393853739e-03
1.640000000000000069e-01,3.939393939393909250e-03
1.660000000000000087e-01,4.545454545454463702e-03
1.680000000000000104e-01,4.242424242424269742e-03
1.700000000000000122e-01,3.030303030303049816e-03
1.719999999999999862e-01,3.333333333333410309e-03
1.739999999999999880e-01,4.242424242424325254e-03
1.759999999999999898e-01,3.636363636363604268e-03
1.779999999999999916e-01,3.636363636363659779e-03
1.799999999999999933e-01,5.757575757575794650e-03
1.819999999999999951e-01,6.060606060606044121e-03
1.839999999999999969e-01,4.545454545454463702e-03
1.859999999999999987e-01,4.545454545454463702e-03
1.880000000000000004e-01,4.848484848484935217e-03
1.900000000000000022e-01,4.242424242424269742e-03
1.920000000000000040e-01,3.636363636363659779e-03
1.940000000000000058e-01,3.939393939393964761e-03
1.960000000000000075e-01,3.939393939393909250e-03
1.980000000000000093e-01,3.030303030302994305e-03
2.000000000000000111e-01,3.030303030302994305e-03
2.020000000000000129e-01,3.333333333333410309e-03
2.039999999999999869e-01,3.030303030303105327e-03
2.059999999999999887e-01,2.727272727272689323e-03
2.079999999999999905e-01,3.939393939393853739e-03
2.099999999999999922e-01,4.545454545454574724e-03
2.119999999999999940e-01,3.939393939394020272e-03
2.139999999999999958e-01,5.151515151515129176e-03
2.159999999999999976e-01,7.272727272727319558e-03
2.179999999999999993e-01,6.060606060606044121e-03
2.200000000000000011e-01,4.545454545454463702e-03
2.220000000000000029e-01,5.454545454545434158e-03
2.240000000000000047e-01,5.757575757575739139e-03
2.260000000000000064e-01,3.939393939393964761e-03
2.280000000000000082e-01,3.939393939393964761e-03
2.300000000000000100e-01,4.545454545454519213e-03
2.320000000000000118e-01,3.939393939393909250e-03
2.340000000000000135e-01,3.333333333333354798e-03
2.359999999999999876e-01,4.242424242424214231e-03
2.379999999999999893e-01,4.545454545454519213e-03
2.399999999999999911e-01,4.242424242424380765e-03
2.419999999999999929e-01,5.151515151515184687e-03
2.439999999999999947e-01,3.939393939393881494e-03
2.459999999999999964e-01,3.030303030302994305e-03
2.479999999999999982e-01,4.242424242424214231e-03
2.500000000000000000e-01,5.151515151515156932e-03
2.520000000000000018e-01,3.939393939393992516e-03
2.540000000000000036e-01,3.636363636363632024e-03
2.560000000000000053e-01,3.636363636363576513e-03
2.580000000000000071e-01,3.636363636363632024e-03
2.600000000000000089e-01,3.333333333333354798e-03
2.620000000000000107e-01,3.636363636363659779e-03
2.640000000000000124e-01,5.757575757575766895e-03
2.660000000000000142e-01,6.363636363636349103e-03
2.680000000000000160e-01,4.848484848484824195e-03
2.700000000000000178e-01,4.545454545454519213e-03
2.720000000000000195e-01,5.151515151515101421e-03
2.740000000000000213e-01,4.242424242424269742e-03
2.760000000000000231e-01,4.848484848484935217e-03
2.780000000000000249e-01,5.151515151515129176e-03
2.800000000000000266e-01,4.242424242424241987e-03
2.819999999999999729e-01,4.848484848484824195e-03
2.839999999999999747e-01,4.848484848484879706e-03
2.859999999999999765e-01,3.333333333333327042e-03
2.879999999999999782e-01,4.242424242424269742e-03
2.899999999999999800e-01,6.060606060606071877e-03
2.919999999999999818e-01,5.151515151515101421e-03
2.939999999999999836e-01,4.242424242424241987e-03
2.959999999999999853e-01,4.545454545454519213e-03
2.979999999999999871e-01,4.848484848484851950e-03
2.999999999999999889e-01,4.242424242424269742e-03
3.019999999999999907e-01,3.939393939393909250e-03
3.039999999999999925e-01,5.151515151515101421e-03
3.059999999999999942e-01,5.757575757575766895e-03
3.079999999999999960e-01,5.151515151515184687e-03
3.099999999999999978e-01,4.545454545454546968e-03
3.119999999999999996e-01,4.242424242424214231e-03
3.140000000000000013e-01,3.636363636363632024e-03
3.160000000000000031e-01,3.030303030303049816e-03
3.180000000000000049e-01,3.030303030303049816e-03
3.200000000000000067e-01,3.333333333333327042e-03
3.220000000000000084e-01,3.636363636363604268e-03
3.240000000000000102e-01,3.636363636363659779e-03
3.260000000000000120e-01,3.939393939393937005e-03
3.280000000000000138e-01,3.636363636363604268e-03
3.300000000000000155e-01,3.393939393939393590e-03
3.320000000000000173e-01,4.181818181818175439e-03
3.340000000000000191e-01,5.060606060606098744e-03
3.360000000000000209e-01,5.060606060606043233e-03
3.380000000000000226e-01,4.848484848484796439e-03
3.400000000000000244e-01,4.575757575757594120e-03
3.420000000000000262e-01,3.757575757575820630e-03
3.439999999999999725e-01,3.242424242424296610e-03
3.459999999999999742e-01,2.939393939393936117e-03
3.479999999999999760e-01,3.454545454545460137e-03
3.499999999999999778e-01,4.727272727272746611e-03
3.519999999999999796e-01,5.060606060606015477e-03
3.539999999999999813e-01,4.787878787878757647e-03
3.559999999999999831e-01,4.757575757575793762e-03
3.579999999999999849e-01,4.636363636363619034e-03
3.599999999999999867e-01,4.393939393939366722e-03
